statisticalID,name,partOf,code,physicalType,district,state
pXhz0PLiYZX,Chamakubi Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
di3U5u7F8Y3,Chibombo Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
B5LpoYehUfI,Chikobo Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
g42i3akwlpj,Chilochabalenje Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
FhCAve1Ndla,Chipeso Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
uhVtTq0ICIF,Chisamba ZNS Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
dhcU6eMvhRQ,Chitanda Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
xUFGW5vo7No,Golden Valley Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
h1YIvEZ6dla,Ipongo Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
VEhbknBaEOz,Itumbwe Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
sbFApO4who4,Kabangalala Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
DdG82TKHJl9,Kamaila Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
eEYycD4oleC,Kanwanjiba Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
wfrgYBT51M1,Kaparu Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
U9mqwYGtxbz,Kapila Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
NeNRxi0fu5m,Kapopo Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
TFzTMM5oaDD,Kayosha Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
TsWOcEzohYx,Keembe Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
xnToDJPNGP6,Makoka Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
okixaxAZHNC,Malambanyama Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
UCdIC6Zes0A,Malundu Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
KlwgbatKrXD,Mboshya Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
tA490zpfdaG,Mukashichimbwe Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
us8T9gyaOYW,Mulonda Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
BkVihZcIW8c,Mungule Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
Nw5x6uTYgJF,Muntemba Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
TcoKhDnIm8w,Musopelo Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
JJUb1CUEptb,Mwachisompola Demo Zone Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
j2BMk5tWYlm,Mwachisompola Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
TkQRVyc9gXO,Mwanjuni Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
wKJRSXJzO87,Mwelebi Keembe Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
gZzOMAPaGWo,Naluyanda Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
mde9quO59mj,Namayani Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
w5fXlHOnHJM,Namununga Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
M4e4R8Marao,Ntapwila Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
xJo05sbtKbm,Shifwankula Health Post,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
ABOFImxcg03,Shimukuni Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
Zve7Ecm6Gq5,SR Lucy O’Brien Memorial Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
TJdMgSlkIHR,Twalumba Rural Health Centre,Location/oEBf29y8JP8,HEALTH_FACILITY,Building,Chibombo District,Central Province
NtzuCllVXfG,Bombwe Health Post,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
b6hKBhgGbPT,Chikonkomene Health Post,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
hTuMuK2i6dF,Chipembi Rural Health Centre,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
stQomg2T3lr,Chisamba Ranch Health Post,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
OK5pIbqh8AJ,Chisamba Rural Health Centre,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
d5HgpZoFDZ5,Kachele Health Post,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
WM145DSBK4l,Kanakantapa Rural Health Centre,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
n7EbzxgN3rB,Kasosolo Health Post,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
OxlLGLAONOk,Kawama Health Post,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
pWbJrQaU7nt,Lifwambula Rural Health Centre,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
dAbiROAW2Qq,Liteta District Hospital,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
iMzTDZgyaJk,Liteta Hospital Affiliated Health Centre,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
YX9HctYjj7r,Malombe Rural Health Centre,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
lx9EIGd5eo5,Momboshi Health post,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
BOLneMMBJw9,Mulungushi Agro Rural Health Centre,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
ve8k5eTMnwF,Muswishi Rural Health Centre,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
nfjLEcv9zhB,Mwantaya Health Post,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
dZK1x2CkZFw,Mwapula Health Post,Location/HPGiE9Jjh2r,HEALTH_FACILITY,Building,Chisamba District,Central Province
xZhQm57zS74,Chalilo Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
GYdpaONnIcF,Chipundu Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
mSskBSbOvyq,Chitambo District Hospital,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
VCpLdlzT8Mw,Chitambo Hospital Affiliated Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
Vs2PN5spHxu,Gibson Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
YTEAv3ceBD5,Kafinda Health Post,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
ZiLHXv99UoF,Katikulula Health Post,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
ETF6T66OyQJ,Mapepala Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
vqDZuaD12cz,Mpelembe Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
cW0COgYvtJF,Muchinka Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
Zhm6q4SeKWF,Mulaushi Health Post,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
eyX5CfbwDbN,Nakatambo Rural Health Centre,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
a0tulQPScYX,Reuben Health Post,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
ql3xeEl9qyG,YoramuMwanje Health Post,Location/BxrIbNW7f3K,HEALTH_FACILITY,Building,Chitambo District,Central Province
u0Kxxp8uuwQ,Banamwaze Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
zjDc72AVjwY,Basanga Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
pkREAlK2S2i,Bushinga Rural Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
huGZsnkz4bQ,Buunga Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
OzL8SVoMmRx,Chishila Rural Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
Nn2Nt8mXWHE,Itezhi-Tezhi District Hospital,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
RBlIkfACTLh,Itumbi Rural Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
WBlI9w8DKGN,Kaanzwa Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
aZKtSEmVant,Lubanda Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
wSn3GyFUOtq,Luubwe Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
nTJdkERDwUT,Makuzu Rurral Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
sIQGY7SP2q2,Masasabi Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
HZcbuTeLHyL,MasemuUrban Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
fy3TOuJ082I,Mbila Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
O5zH5XTuzzq,Mutenda Rural Health Post,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
A6hsoKzGQh5,Muunga Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
gGEpfxID3u0,Nachishila Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
yCUgTKpGGoi,Nansenga Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
rm5rfKGTRRX,Nanzhila Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
Ns7t5cAsY4q,Ngoma Rural Health Centre,Location/SQT8xjbvWwf,HEALTH_FACILITY,Building,Itezhi-tezhi District,Central Province
mHs8NE6sJBO,ARK Private Clinic,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
S9tqzMHVdMU,Blossom Surgery Clinic,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
AZbwCNxCnHI,Bruneli Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
jfJ6oVS5WJO,Bwacha Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
HjjFVFohpYu,ChankalamuHealth Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
a8LSs2Pu3QS,Chililalila Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
nyBEgf7h2Ez,Chindwin Camp Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
tMHLNAbaUPm,Chitakata A Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
MXgYXjXv0Xl,Chitakata B Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
g9hsEdjDgKP,Chowa Forest Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
vo6M8DkABg1,Chowa Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
UMUVe6BSCAw,ChresoMinistries Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
QxMSpBT4HD8,Dorcas Family Planning Clinic,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
WMd56LAiHD0,Fibale Private Clinic,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
Fr2zgG3sYai,Hamdudu Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
xTGyfubRt21,Highridge Private Clinic,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
MBziWv0Ch5t,Kabwe General Hospital,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
Mzoe6uoN3zU,Kabwe General Hospital Affiliated Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
BlTM6EMQBKU,Kabwe Medical Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
vWMWRRvXwFA,Kabwe Mine Hospital,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
lc5Q2MTDCBb,Kafulamase Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
P46mAdEgXRI,Kalima Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
aJ7lbgN3IL8,Kalwelwe Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
Y2eosbUEM15,Kamakuti Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
TK7I4yvrQj7,Kangomba Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
MlKGdkI9Ff7,KARA Private Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
bXZcDh72H10,Kasanda Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
cBMnOOQ4iwo,Kasavasa Rural Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
uUiYjRMs1RE,Katondo Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
nsNVbK7uCN1,Kawama Urban Health Centre (Kabwe),Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
ZjpTCJMX8kg,KIFHealth Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
SCZWWD6hSG4,Kohima Camp Hospital,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
DGs3ThOtddH,Mahatma Ghandhi Memorial Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
uYwn8Ev8sLo,Makululu Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
VwnUJkYwrF3,Makupu A Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
CQa2nWJRIZr,Makupu B Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
GFOsdq1Yi6p,Maximum Prison Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
Paw10zsVwtz,Medium Prison Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
vKuk9rvQb0y,Mpima Dairy Rural Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
VKkC2nb6QHG,Mpima Prison Clinic,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
zjyqjqIZRuq,Mukobeko Township Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
ksE1uKdLDRK,Mukuni Private Clinic,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
gA1k9nzzSgo,Munga Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
j7z71CcMe0G,Munyama Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
DhdiKQxeYNp,Nakoli Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
ZvXxG0xwlfC,Natuseko Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
uL8Kz5TX1AI,Ngungu Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
MDphf5MmRYx,Nkhrumah Teachers College Health Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
d3gYGdcrvEQ,Parkview Private Clinic,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
DyiUb2HoBDk,Pollen Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
wmmVrJCn0Qs,ProvidenMedical Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
QCHOZYbPTC0,Railway Surgery Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
HBkK6FdNBXS,Ranchhod Hospice,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
rR0HzIiydVV,Rayton Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
QckI5bWEVTY,ZAF Kabwe Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
axvGK5GODZ0,Zambia PoliHealth Post,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
QYoI2SWaYRU,Zambia State InsuranClinic,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
gD016lOo5vF,ZNS Kabwe Urban Health Centre,Location/sNAdEeUXVUz,HEALTH_FACILITY,Building,Kabwe District,Central Province
DlMIyHw3qJJ,Chambulumina Health Post,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
Rl9BAKdVaOg,Chankomo Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
sYJmgPfHTEF,Chapusha Health post,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
wY01tpGEXbr,Chawama Urban Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
KwfN357O5ni,Chibwe Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
XC7wpOuFtEj,Chilumba Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
GJ994lcPwiT,Chipepo Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
LEBBGS9JhZh,Chishinka Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
HlWwzypQ8RI,Chitaba Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
kGYar494Wfz,Ilungu Health post,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
uE1IjHOTBiU,Kafinda Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
Y4RKHwOitFx,Kakulu Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
T6d4qUlGKA8,Kampumba Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
uvn95CS1MHd,Kapiri Mposhi District Hospital,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
PmjNksaXFag,Kapiri Urban Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
MZJ8XyreWOt,Kaswende Rural Health Post,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
kgFJEfuaLW8,Kawama Urban Health Centre (Kapiri),Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
So UY97cG70g,Likumbi Health Post,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
vtIHXUPYR9G,Luanshimba Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
eoeuTCT4aJ0,Lukomba Health Post,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
IZRiFw9Y8Pt,Lunchu B Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
cM2Tqa9qwAn,Lunsemfwa Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
TEjyGHDv6vr,Matilyo Health post,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
Bsig73HwKZN,Mpunde Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
Dpabjf9dgL4,Mukonchi Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
j7qLztqip6H,Mulungushi Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
hH1b1szS9Ce,Mulungushi University Clinic,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
x3bVlYitFxz,Mutaba Urban Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
zoqmR5jkCig,Ndeke Urban Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
VIqHqUq79tJ,Nkole Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
IiiqPr70AqG,Renato Health post,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
yFdIdx70I6L,St Pauls Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
tMKIgPcmbJv,Tazara Urban Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
gDjsUk7AO1t,Waya Rural Health Centre,Location/i28jnGjQN10,HEALTH_FACILITY,Building,Kapiri-Mposhi District,Central Province
gziwrjV3Cpc,Chembe Rural Health Centre,Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
SuKhHZ7FkGX,Chikupili Rural Health Centre,Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
L34ZN4RT3RI,Chimika Rural Health Centre,Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
QdicK475Y9p,Chingombe Rural Health Centre,Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
TP4aSFidNYm,Kampelembe Health Post,Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
uvhpizZyOJ5,Kanyesha Health Centre,Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
hvFQCsJ1YcC,Kaundula Rural Health Centre,Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
C0pFCWwqsYW,Mboroma Rural Health Centre,Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
nbgYJTcPJUG,Mboshya Rural Health Centre (Mkushi),Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
EeyyL078rcB,Mkushi Copper Mine Rural Health Centre,Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
AGNVVYmY3GH,Old Mkushi Rural Health Centre,Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
fHui6CXhM3p,Tuyu Rural Health Centre,Location/hPzLRPGQhyk,HEALTH_FACILITY,Building,Luano District,Central Province
xPrabZDBcZV,Chalata Rural Health Centre,Location/kbRJIC4LHCT,HEALTH_FACILITY,Building,Mkushi District,Central Province
ETjCCqBs4Yj,Changilo Health Post,Location/kbRJIC4LHCT,HEALTH_FACILITY,Building,Mkushi District,Central Province
lVSV27P2nck,Chengelo Clinic,Location/kbRJIC4LHCT,HEALTH_FACILITY,Building,Mkushi District,Central Province
nao8gQxaNR6,Chibefwe Rural Health Centre,Location/kbRJIC4LHCT,HEALTH_FACILITY,Building,Mkushi District,Central Province
dH76Z6mQecN,Chisanga Rural Health Centre,Location/kbRJIC4LHCT,HEALTH_FACILITY,Building,Mkushi District,Central Province
Mn8l1XyKn7A,Chitina Health Post,Location/kbRJIC4LHCT,HEALTH_FACILITY,Building,Mkushi District,Central Province
qQ3Zy7F0C0Y,Fiwila Rural Health Centre,Location/kbRJIC4LHCT,HEALTH_FACILITY,Building,Mkushi District,Central Province
GpTGLsAUCaV,Kabengeshi Rural Health Post,Location/kbRJIC4LHCT,HEALTH_FACILITY,Building,Mkushi District,Central Province
MQMJRmG2wuP,Kakushi Health Post,Location/kbRJIC4LHCT,HEALTH_FACILITY,Building,Mkushi District,Central Province
js87ttESKK2,Kasalamakanga Health Post,Location/kbRJIC4LHCT,HEALTH_FACILITY,Building,Mkushi District,Central Province
slBdK4auqPf,Kasokota Health Post,Location/kbRJIC4LHCT,HEALTH_FACILITY,Building,Mkushi District,Central Province
